Num,Q1Q,Q1A1,Q1A2,Q1A,Q1Feedback,Q2Q,Q2A1,Q2A2,Q2A3,Q2A,Q2Feedback
1,Are two new &sigma;-bonds formed?,Yes,No,a,Two new &sigma;-bonds and a new ring were formed at the expense of 1 &pi;-bond in this reaction.,A <em>cycloaddition</em>. How many atoms are in each partner?,4 and 2,3 and 2,2 and 2,a,"One fragment has 4 C atoms involved in the new ring, the other has 2. This reaction is therefore a <strong>[4+2] cycloaddition</strong>."
2,Are two new &sigma;-bonds formed?,Yes,No,b,This reaction resulted in the migration of a C-O &sigma;-bond to become a C-C bond and no net change in the number of &pi;- or &sigma;-bonds.,Is there a change in the number of &pi;-bonds?,Yes,No,,b,"The old and new s-bonds bracket two 3-heavy-atoms fragments. This reaction is therefore a <strong>[3,3]-sigmatropic rearrangement</strong>."
3,Are two new &sigma;-bonds formed?,Yes,No,b,1 C-H bond was broken and a new one was formed. There is no net change in the number of &sigma;-bonds. ,Is there a change in the number of &pi;-bonds?,Yes,No,,b,"This reaction resulted in the migration of a H atom between positions 1 and 5. Therefore this reaction is a <strong>[1,5]-sigmatropic rearrangement</strong>."
4,Are two new &sigma;-bonds formed?,Yes,No,b,"A new ring has formed at the expense of one &pi;-bond, which has been converted into a &sigma;-bond. ",Is there a change in the number of &pi;-bonds?,Yes,No,,a,"A new ring has formed at the expense of one &pi;-bond, which has been converted into a &sigma;-bond. This is a 4&pi; <strong>electrocyclic reaction</strong>."
5,Are two new &sigma;-bonds formed?,Yes,No,a,Two new &sigma;-bonds and a new ring were formed at the expense of 2 &pi;-bonds in this reaction.,A <em>cycloaddition</em>. How many atoms are in each partner?,4 and 2,3 and 2,2 and 2,b,"Ozone has 3 atoms involved in the new ring, the alkene has 2. This reaction is therefore a <strong>[3+2] cyclocaddition</strong>, more specifically, part for an <strong> ozonolysis</strong>."
6,Are two new &sigma;-bonds formed?,Yes,No,a,Two new &sigma;-bonds and a new ring were formed at the expense of 1 &pi;-bond in this reaction.,A <em>cycloaddition</em>. How many atoms are in each partner?,4 and 2,3 and 2,2 and 2,a,There are 4 C atoms in the diene fragment and 2 in the benzyne which are involved in the new ring. This reaction is therefore a <strong>[4+2] cycloaddition</strong> 
7,Are two new &sigma;-bonds formed?,Yes,No,b,This reaction resulted in the migration of a &sigma;-bond but there is no net change in the number of &sigma;-bonds overall. ,Is there a change in the number of &pi;-bonds?,Yes,No,,b,"The total number of &pi;-bonds stays the same. The only change is the migration of a &sigma;-bond. This reaction is therefore a <strong>[3,3] sigmatropic rearrangement</strong> due to the 2 flip-flop fragments which contain 3 heavy atoms each. "
8,Are two new &sigma;-bonds formed?,Yes,No,b,"A new ring has formed at the expense of one &pi;-bond, which has been converted into a &sigma;-bond. So the answer is NO. ",Is there a change in the number of &pi;-bonds?,Yes,No,,a,One &pi;-bond is coverted into a &sigma;-bond. This reaction is therefore an <strong>electrocyclic reaction</strong>.
9,Are two new &sigma;-bonds formed?,Yes,No,b,This reaction results in the migration of a &sigma;=bond but no net change in the number of &sigma;-bonds overall. ,Is there a change in the number of &pi;-bonds?,Yes,No,,b,"Two &pi;-bonds are present in both the starting material and the product. This reaction is a <strong>[3,3] sigmatropic rearrangement</strong> due to the 2 flip-flop fragments which contain 3 heavy atoms each."
10,Are two new &sigma;-bonds formed?,Yes,No,b,One new &sigma;-bond is formed at the expense of a &pi;-bond.,Is there a change in the number of &pi;-bonds?,Yes,No,,a,"A new ring has formed at the expense of one &pi;-bond, which has been converted into a &sigma;-bond. Therefore there is a net change of -1&pi;-bonds and this is an <strong>electrocyclic reaction</strong>."
11,Are two new &sigma;-bonds formed?,Yes,No,b,1 C-O &sigma;-bond was broken and a new C-C &sigma;-bond was formed. There is no net chagne in the number of sigma;-bonds. ,Is there a change in the number of &pi;-bonds?,Yes,No,,b,"The old and new &sigma;-bonds bracket two 3-heavy-atoms fragments. This reaction is therefore a <strong>[3,3]-sigmatropic rearrangement</strong>."
12,Are two new &sigma;-bonds formed?,Yes,No,b,"A new ring has formed at the expense of a &pi;-bond, which has been converted into a &sigma;-bond.",Is there a change in the number of &pi;-bonds?,Yes,No,,a,"A new ring has formed at the expense of a &pi;-bond,which has been converted into a &sigma;-bond. This is a 6&pi;-electron <strong>electrocyclic reaction</strong>."
13,Are two new &sigma;-bonds formed?,Yes,No,b,1 C-C &sigma;-bond was broken and a new C-C &sigma;-bond was formed. There is no net change in the number of &sigma;-bonds.,Is there a change in the number of &pi;-bonds?,Yes,No,,b,"The old and new &sigma;-bonds bracket two 3-heavy-atoms fragments. This reaction is therefore a <strong>[3,3]-sigmatropic rearrangement</strong>."
14,Are two new &sigma;-bonds formed?,Yes,No,a,2 new &sigma;-bonds and a new ring were formed at the expense of 2 &pi;-bonds in this reaction.,A <em>cycloaddition</em>. How many atoms are in each partner?,4 and 2,3 and 2,2 and 2,c,Both fragments have 2 C atoms involved in the new ring meaning that this reaction is therefore a <strong>[2+2] cycloaddition</strong>. 
15,Are two new &sigma;-bonds formed?,Yes,No,b,1 C-H bond was broken and a new one was formed. There is no net change in the number of &sigma;-bonds. ,Is there a change in the number of &pi;-bonds?,Yes,No,,b,"This reaction resulted in the migration of a H atom between positions 1 and 7. Therefore this reaction is a <strong>[1,7]-sigmatropic rearrangement</strong>."
16,Are two new &sigma;-bonds formed?,Yes,No,b,"A new ring has formed at the expense of a &pi;-bond, which has been converted into a &sigma;-bond.",Is there a change in the number of &pi;-bonds?,Yes,No,,a,"A new ring has formed at the expense of a &pi;-bond,which has been converted into a &sigma;-bond. This is a 4&pi;-electron <strong>electrocyclic reaction</strong>."
